ticker,counterparty,currency,koinlyid
XKF,rG6RZ93xFrgCcXhWdh2hAWDeDwydMvS19J,XKF,ID:2304675
XLION,rU6ANcasdcDmRiF9JuW2rj7KYmPGKAEUYy,584C494F4E000000000000000000000000000000,ID:5382103
XLIST,rNy8hFXoXEaJwkiT6U6ED5CWsfZHELNcnr,584C495354000000000000000000000000000000,ID:5382019
XLLAMAS,rM7eceNskZB43X7aCDe22moJBEw9u42aN8,584C4C414D415300000000000000000000000000,ID:5766673
XMKAT,r38btybd7kRqPctNJmcsf9SrCC3uzjPccf,584D4B4154000000000000000000000000000000,ID:5414884
XMOCHI,rPaC5HFXToBuqHjSgjhmJaMejrF6DHRXKL,784D6F6368690000000000000000000000000000,ID:5382066
XPUNK,rHEL3bM4RFsvF8kbQj3cya8YiDvjoEmxLq,5850554E4B000000000000000000000000000000,ID:5377116
XRDOGE,rLqUC2eCPohYvJCEBJ77eCCqVL2uEiczjA,5852646F67650000000000000000000000000000,ID:114016
XRLZ,rPVaiUCm98WPCtQbLhXkSk3prFR1aTZTmx,58524C5A00000000000000000000000000000000,ID:5409057
XROCK,rockUQqYKy3vpCtVnF7yigDiZw887rhN7,58726F636B000000000000000000000000000000,ID:6991031
XSHROOM,rHqLei9xJch13JioYHsDUwWJoz81QQh6LU,785368726F6F6D00000000000000000000000000,ID:5381112
XSP,rPUNKXyoE6zZB3nRSTuU7DoUKiQfi8KeK8,XSP,ID:6218301
XSPECTAR,rh5jzTCdMRCVjQ7LT6zucjezC47KATkuvv,7853504543544152000000000000000000000000,ID:4794440
XWARS,rLC88EkvQUmVM3PVzDejTBzRGx1hKwBsUf,5857415253000000000000000000000000000000,ID:5437658
ZRPY,rsxkrpsYaeTUdciSFJwvto7MKSrgGnvYvA,5A52505900000000000000000000000000000000,ID:10593439
